Data,FED,TDTF
02/11/2011,0.25,25.4
13/12/2011,0.25,25.34
25/01/2012,0.25,25.55
13/03/2012,0.25,25.72
25/04/2012,0.25,25.88
20/06/2012,0.25,25.97
01/08/2012,0.25,26.04
13/09/2012,0.25,26.34
24/10/2012,0.25,26.21
12/12/2012,0.25,26.45
30/01/2013,0.25,26.17
20/03/2013,0.25,26.26
01/05/2013,0.25,26.21
19/06/2013,0.25,25.16
31/07/2013,0.25,25.16
18/09/2013,0.25,25.17
30/10/2013,0.25,25.3
18/12/2013,0.25,24.99
29/01/2014,0.25,25.09
19/03/2014,0.25,25.0
30/04/2014,0.25,25.23
18/06/2014,0.25,25.4
30/07/2014,0.25,25.35
17/09/2014,0.25,24.8
29/10/2014,0.25,24.89
17/12/2014,0.25,24.54
28/01/2015,0.25,25.01
18/03/2015,0.25,24.74
29/04/2015,0.25,25.02
17/06/2015,0.25,24.93
29/07/2015,0.25,24.75
17/09/2015,0.25,24.65
28/10/2015,0.25,24.61
16/12/2015,0.5,24.26
27/01/2016,0.5,24.61
16/03/2016,0.5,24.97
27/04/2016,0.5,25.23
15/06/2016,0.5,25.56
27/07/2016,0.5,25.44
21/09/2016,0.5,25.29
02/11/2016,0.5,25.49
14/12/2016,0.75,24.79
01/02/2017,0.75,25.19
15/03/2017,1.0,25.12
03/05/2017,1.0,25.1
14/06/2017,1.25,25.09
26/07/2017,1.25,25.01
20/09/2017,1.25,25.08
01/11/2017,1.25,25.02
13/12/2017,1.5,24.94
31/01/2018,1.5,24.69
21/03/2018,1.75,24.6
02/05/2018,1.75,24.46
13/06/2018,2.0,24.45
01/08/2018,2.0,24.29
26/09/2018,2.25,24.22
08/11/2018,2.25,23.8
19/12/2018,2.5,24.1
30/01/2019,2.5,24.32
20/03/2019,2.5,24.82
01/05/2019,2.5,24.9
19/06/2019,2.5,25.41
31/07/2019,2.25,25.43
18/09/2019,2.0,25.42
30/10/2019,1.75,25.41
11/12/2019,1.75,25.61
29/01/2020,1.75,25.9
03/03/2020,1.25,26.49
29/04/2020,0.25,26.48
10/06/2020,0.25,26.59
29/07/2020,0.25,27.16
16/09/2020,0.25,27.56
05/11/2020,0.25,27.32
16/12/2020,0.25,27.7
27/01/2021,0.25,27.98
17/03/2021,0.25,27.77
28/04/2021,0.25,28.01
16/06/2021,0.25,27.74
28/07/2021,0.25,28.57
22/09/2021,0.25,28.0
03/11/2021,0.25,27.98
15/12/2021,0.25,27.84
26/01/2022,0.25,27.39
16/03/2022,0.5,27.36
04/05/2022,1.0,26.29
15/06/2022,1.75,25.31
27/07/2022,2.5,25.8
21/09/2022,3.25,24.2
02/11/2022,4.0,23.62
14/12/2022,4.5,24.07
01/02/2023,4.75,24.29
